algo,lr,gamma,epsilon,eps_decay,train_avg_last50,train_avg_steps,train_avg_deliveries,eval_avg_reward,eval_avg_steps,eval_avg_deliveries
q_learning,0.001,0.9,0.3,0.99,144.3,63.67666666666667,1.0,142.0,34.0,1.0
q_learning,0.001,0.9,0.3,0.995,140.08,108.01666666666667,1.0,142.0,34.0,1.0
q_learning,0.001,0.9,0.5,0.99,141.44,78.42,1.0,142.0,34.0,1.0
q_learning,0.001,0.9,0.5,0.995,141.26,132.51333333333332,0.9966666666666667,142.0,34.0,1.0
q_learning,0.001,0.99,0.3,0.99,161.06,89.86333333333333,0.9966666666666667,142.0,34.0,1.0
q_learning,0.001,0.99,0.3,0.995,141.22,130.24333333333334,0.99,142.0,34.0,1.0
q_learning,0.001,0.99,0.5,0.99,143.76,92.65333333333334,0.9933333333333333,142.0,34.0,1.0
q_learning,0.001,0.99,0.5,0.995,139.5,111.13,0.99,142.0,34.0,1.0
q_learning,0.01,0.9,0.3,0.99,143.4,59.373333333333335,1.0,142.0,34.0,1.0
q_learning,0.01,0.9,0.3,0.995,142.56,73.7,1.0,142.0,34.0,1.0
q_learning,0.01,0.9,0.5,0.99,141.44,82.56,0.9966666666666667,142.0,34.0,1.0
q_learning,0.01,0.9,0.5,0.995,143.22,108.2,1.0,142.0,35.0,1.0
q_learning,0.01,0.99,0.3,0.99,141.28,64.43,1.0,142.0,35.0,1.0
q_learning,0.01,0.99,0.3,0.995,141.54,88.43333333333334,1.0,142.0,34.0,1.0
q_learning,0.01,0.99,0.5,0.99,141.56,92.86,0.9933333333333333,142.0,34.0,1.0
q_learning,0.01,0.99,0.5,0.995,141.1,111.2,0.99,142.0,34.0,1.0
dyna_q_p3,0.001,0.9,0.3,0.99,139.48,65.88666666666667,0.9966666666666667,142.0,34.0,1.0
dyna_q_p3,0.001,0.9,0.3,0.995,140.42,80.22,0.9966666666666667,142.0,34.0,1.0
dyna_q_p3,0.001,0.9,0.5,0.99,141.86,81.33666666666667,1.0,142.0,34.0,1.0
dyna_q_p3,0.001,0.9,0.5,0.995,140.04,128.29,0.9933333333333333,142.0,34.0,1.0
dyna_q_p3,0.001,0.99,0.3,0.99,141.82,59.71333333333333,1.0,142.0,34.0,1.0
dyna_q_p3,0.001,0.99,0.3,0.995,141.48,65.53666666666666,1.0,142.0,34.0,1.0
dyna_q_p3,0.001,0.99,0.5,0.99,140.56,102.91333333333333,0.99,142.0,34.0,1.0
dyna_q_p3,0.001,0.99,0.5,0.995,140.8,115.20333333333333,0.9966666666666667,142.0,34.0,1.0
dyna_q_p3,0.01,0.9,0.3,0.99,138.18,67.45666666666666,0.9966666666666667,142.0,34.0,1.0
dyna_q_p3,0.01,0.9,0.3,0.995,144.18,85.58333333333333,1.0,142.0,35.0,1.0
dyna_q_p3,0.01,0.9,0.5,0.99,142.1,72.80333333333333,1.0,142.0,34.0,1.0
dyna_q_p3,0.01,0.9,0.5,0.995,138.68,105.32,0.9933333333333333,142.0,34.0,1.0
dyna_q_p3,0.01,0.99,0.3,0.99,141.68,58.51,1.0,142.0,35.0,1.0
dyna_q_p3,0.01,0.99,0.3,0.995,141.6,77.28,1.0,142.0,34.0,1.0
dyna_q_p3,0.01,0.99,0.5,0.99,139.22,97.95,0.9966666666666667,142.0,35.0,1.0
dyna_q_p3,0.01,0.99,0.5,0.995,143.22,118.89333333333333,1.0,142.0,34.0,1.0
dyna_q_p5,0.001,0.9,0.3,0.99,141.86,55.62,1.0,142.0,34.0,1.0
dyna_q_p5,0.001,0.9,0.3,0.995,140.22,74.82,0.9966666666666667,142.0,34.0,1.0
dyna_q_p5,0.001,0.9,0.5,0.99,143.62,87.24,0.9933333333333333,142.0,34.0,1.0
dyna_q_p5,0.001,0.9,0.5,0.995,134.98,143.56666666666666,0.98,142.0,34.0,1.0
dyna_q_p5,0.001,0.99,0.3,0.99,141.94,59.263333333333335,1.0,142.0,35.0,1.0
dyna_q_p5,0.001,0.99,0.3,0.995,140.12,76.09333333333333,0.9966666666666667,142.0,34.0,1.0
dyna_q_p5,0.001,0.99,0.5,0.99,141.18,83.00666666666666,0.99,142.0,34.0,1.0
dyna_q_p5,0.001,0.99,0.5,0.995,142.56,106.34333333333333,0.9966666666666667,142.0,34.0,1.0
dyna_q_p5,0.01,0.9,0.3,0.99,139.78,86.25666666666666,0.9933333333333333,142.0,40.0,1.0
dyna_q_p5,0.01,0.9,0.3,0.995,140.66,88.04666666666667,0.9933333333333333,141.64,35.36,1.0
dyna_q_p5,0.01,0.9,0.5,0.99,145.44,91.17333333333333,0.9966666666666667,142.0,35.0,1.0
dyna_q_p5,0.01,0.9,0.5,0.995,139.46,92.48,1.0,142.0,34.0,1.0
dyna_q_p5,0.01,0.99,0.3,0.99,139.56,84.76666666666667,0.98,142.0,35.0,1.0
dyna_q_p5,0.01,0.99,0.3,0.995,141.28,78.42333333333333,0.9966666666666667,142.0,34.0,1.0
dyna_q_p5,0.01,0.99,0.5,0.99,129.64,67.98666666666666,1.0,142.0,34.0,1.0
dyna_q_p5,0.01,0.99,0.5,0.995,135.22,102.52666666666667,1.0,141.0,36.0,1.0
